directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8436446,1,2,1,10,2025,2,42,3.0,320000.0,1169
8436450,1,2,1,10,2025,1,23,5.0,2745000.0,1177
8436451,1,2,1,10,2025,2,70,1.0,,1179
8436451,1,4,1,10,2025,2,32,5.0,,1181
8436452,1,2,1,10,2025,2,5,2.0,,1183
8436453,1,3,1,10,2025,1,46,3.0,,1186
8436453,1,5,1,10,2025,2,5,2.0,,1188
8436454,1,3,1,10,2025,2,17,5.0,,1191
8436458,1,1,1,10,2025,1,20,5.0,1500000.0,1196
8436458,1,2,1,10,2025,1,20,5.0,1500000.0,1197
8436460,1,1,1,10,2025,2,70,3.0,,1199
8436462,1,1,1,10,2025,1,56,3.0,360000.0,1208
8436464,1,1,1,10,2025,1,71,3.0,400000.0,1214
8436464,1,2,1,10,2025,2,55,1.0,560000.0,1215
8436465,1,1,1,10,2025,1,65,3.0,840000.0,1216
8436466,1,3,1,10,2025,1,1,,,1219
8436469,1,2,1,10,2025,2,17,5.0,,1224
8436470,1,1,1,10,2025,1,24,10.0,1000000.0,1226
8436471,1,2,1,10,2025,1,58,5.0,2800000.0,1230
8436473,1,3,1,10,2025,2,17,5.0,1623000.0,1234
8436476,1,1,1,10,2025,2,41,9.0,2500000.0,1238
8436476,1,2,1,10,2025,1,24,9.0,2500000.0,1239
8436476,1,3,1,10,2025,1,17,5.0,,1240
8436478,1,1,1,10,2025,2,63,8.0,,1243
8436478,1,2,1,10,2025,2,69,3.0,,1244
8436480,1,1,1,10,2025,2,55,4.0,900000.0,1247
8436482,1,3,1,10,2025,1,40,5.0,1423000.0,1253
8436483,1,2,1,10,2025,2,42,10.0,2000000.0,1255
8436483,1,4,1,10,2025,1,71,3.0,,1257
8436487,1,1,1,10,2025,2,34,12.0,3900000.0,1264
8436487,1,3,1,10,2025,2,3,2.0,,1266
8436488,1,3,1,10,2025,1,39,10.0,1500000.0,1269
8436489,1,2,1,10,2025,2,75,3.0,,1271
8436490,1,1,1,10,2025,2,66,3.0,,1273
8436491,1,2,1,10,2025,2,54,4.0,,1280
8436491,1,3,1,10,2025,2,9,3.0,,1281
8436493,1,1,1,10,2025,2,73,5.0,700000.0,1283
8436495,1,4,1,10,2025,1,13,4.0,,1291
8436496,1,1,1,10,2025,1,61,4.0,1500000.0,1292
8436499,1,2,1,10,2025,2,32,5.0,1000000.0,1299
8436499,1,4,1,10,2025,1,6,3.0,,1301
8436501,1,2,1,10,2025,2,31,5.0,,1304
8436503,1,1,1,10,2025,2,51,9.0,2300000.0,1313
8436503,1,3,1,10,2025,2,19,5.0,500000.0,1315
8436505,1,2,1,10,2025,2,51,10.0,4000000.0,1321
8436507,1,1,1,10,2025,1,57,10.0,5850000.0,1329
8436507,1,2,1,10,2025,2,53,5.0,1423000.0,1330
8436508,1,1,1,10,2025,1,67,3.0,1800000.0,1332
8436509,1,1,1,10,2025,2,86,3.0,,1335
8436509,1,8,1,10,2025,2,37,6.0,780000.0,1342
8436509,1,10,1,10,2025,2,23,5.0,1423500.0,1344
8436509,1,13,1,10,2025,1,37,3.0,,1347
8436510,1,3,1,10,2025,2,19,5.0,,1350
8436511,1,1,1,10,2025,1,29,5.0,1623500.0,1351
8436512,1,1,1,10,2025,2,56,5.0,1423500.0,1354
8436512,1,2,1,10,2025,1,30,5.0,1783500.0,1355
8436512,1,4,1,10,2025,2,6,2.0,,1357
8436513,1,4,1,10,2025,1,46,3.0,1700000.0,1361
8436514,1,2,1,10,2025,2,75,5.0,,1363
8436516,1,1,1,10,2025,1,51,5.0,2200000.0,1365
8436516,1,3,1,10,2025,1,7,3.0,,1367
8436517,1,2,1,10,2025,1,53,9.0,800000.0,1369
8436517,1,3,1,10,2025,2,23,10.0,1423500.0,1370
8436519,1,1,1,10,2025,1,29,5.0,1423500.0,1373
8436519,1,2,1,10,2025,1,22,5.0,1423500.0,1374
8436520,1,2,1,10,2025,1,29,4.0,1400000.0,1376
8436521,1,2,1,10,2025,1,32,5.0,1800000.0,1380
8436522,1,1,1,10,2025,1,31,5.0,1600000.0,1384
8436523,1,1,1,10,2025,1,63,4.0,,1386
8436526,1,2,1,10,2025,2,67,10.0,,1391
8436526,1,5,1,10,2025,1,3,1.0,,1394
8436527,1,4,1,10,2025,1,41,8.0,1700000.0,1399
8436528,1,1,1,10,2025,1,77,10.0,,1400
8436529,1,2,1,10,2025,2,50,11.0,,1403
8436530,1,3,1,10,2025,2,1,,,1407
8436531,1,2,1,10,2025,2,66,8.0,,1409
8436532,1,1,1,10,2025,2,60,8.0,,1410
8436534,1,1,1,10,2025,2,90,3.0,,1415
8436535,1,1,1,10,2025,2,72,5.0,,1417
8436536,1,2,1,10,2025,2,77,3.0,,1419
8436537,1,1,1,10,2025,2,84,3.0,,1420
8436539,1,1,1,10,2025,1,68,4.0,,1423
8436539,1,3,1,10,2025,2,39,10.0,3600000.0,1425
8436542,1,1,1,10,2025,1,38,5.0,1450000.0,1429
