directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8080413,1,1,1,10,2024,1,25,11.0,2000000.0,53097
8053574,1,1,1,10,2024,1,65,3.0,500000.0,35425
8043669,1,1,1,10,2024,2,31,3.0,600000.0,12596
8055419,1,1,1,10,2024,2,52,9.0,2500000.0,39355
8081167,1,2,1,10,2024,2,27,4.0,600000.0,54522
8085896,1,1,1,10,2024,1,63,3.0,1800000.0,63019
8080460,1,2,1,10,2024,2,44,5.0,500000.0,53122
8076830,1,2,1,10,2024,1,24,5.0,1300000.0,44783
8038994,1,1,1,10,2024,1,34,5.0,900000.0,1995
8052279,1,1,1,10,2024,1,57,3.0,1300000.0,32313
8049163,1,1,1,10,2024,1,60,10.0,15000000.0,25035
8043913,1,3,1,10,2024,1,22,5.0,1300000.0,13208
8044648,1,2,1,10,2024,1,42,11.0,23500000.0,15131
8040565,1,1,1,10,2024,2,51,4.0,300000.0,5523
8076717,1,1,1,10,2024,1,61,4.0,900000.0,44517
8050951,1,4,1,10,2024,2,22,5.0,800000.0,29288
8046002,1,2,1,10,2024,2,50,3.0,330000.0,18467
8046198,1,2,1,10,2024,2,26,6.0,1050000.0,18946
8079825,1,5,1,10,2024,1,65,3.0,800000.0,51682
8082319,1,2,1,10,2024,1,55,3.0,1300000.0,56458
8051545,1,1,1,10,2024,1,61,9.0,3000000.0,30451
8051494,1,2,1,10,2024,1,21,5.0,500000.0,30337
8052360,1,1,1,10,2024,1,34,5.0,650000.0,32563
8083769,1,8,1,10,2024,1,21,5.0,1460000.0,59724
8051603,1,1,1,10,2024,2,44,5.0,1300000.0,30580
8039970,1,2,1,10,2024,2,38,11.0,4000000.0,4095
8044493,1,2,1,10,2024,1,24,5.0,1000000.0,14684
8042797,1,2,1,10,2024,2,32,5.0,1300000.0,10578
8082359,1,1,1,10,2024,2,43,10.0,4500000.0,56552
8044168,1,1,1,10,2024,1,27,9.0,1900000.0,13810
8050314,1,2,1,10,2024,2,56,3.0,250000.0,27582
8052759,1,1,1,10,2024,1,39,3.0,2700000.0,33518
8045250,1,1,1,10,2024,1,42,10.0,2800000.0,16762
8044397,1,2,1,10,2024,2,20,5.0,1000000.0,14434
8075720,1,1,1,10,2024,1,21,4.0,1000000.0,41905
8039656,1,6,1,10,2024,2,18,5.0,1000000.0,3446
8052230,1,3,1,10,2024,1,21,5.0,1225000.0,32176
8040870,1,2,1,10,2024,1,32,10.0,1600000.0,6252
8082839,1,2,1,10,2024,1,36,11.0,3900000.0,57712
8051639,1,1,1,10,2024,1,32,4.0,750000.0,30666
8076618,1,1,1,10,2024,2,48,3.0,800000.0,44290
8044598,1,1,1,10,2024,2,50,10.0,600000.0,15001
8051021,1,1,1,10,2024,2,38,5.0,1300000.0,29492
8043932,1,1,1,10,2024,1,48,5.0,4000000.0,13254
8084647,1,2,1,10,2024,2,32,5.0,900000.0,61595
8048134,1,1,1,10,2024,1,58,11.0,5300000.0,23139
8040690,1,2,1,10,2024,1,39,10.0,7000000.0,5793
8053846,1,1,1,10,2024,2,40,8.0,1300000.0,36001
