per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;1;1;1;56;1;3;1.0;1600000.0;46.0
2024;12;1;1;2;45;1;2;5.0;1300000.0;92.0
2024;12;3;1;2;60;4;2;3.0;600000.0;81.0
2024;12;6;1;1;31;8;1;5.0;900000.0;49.0
2024;12;1;1;2;33;1;2;9.0;1300000.0;82.0
2024;12;3;1;2;28;3;1;10.0;4000000.0;94.0
2024;12;1;1;2;48;1;2;4.0;1900000.0;55.0
2024;12;2;1;2;23;3;1;10.0;1240000.0;32.0
2024;12;1;1;2;26;1;2;4.0;1500000.0;96.0
2024;12;3;1;1;25;3;1;10.0;1300000.0;41.0
2024;12;2;1;1;23;3;1;5.0;300000.0;49.0
2024;12;2;1;1;26;3;1;5.0;1300000.0;94.0
2024;12;1;1;2;35;1;2;5.0;1100000.0;81.0
2024;12;1;1;1;58;1;2;5.0;4000000.0;85.0
2024;12;1;1;1;28;1;1;5.0;1000000.0;15.0
2024;12;1;1;2;42;1;2;5.0;0.0;47.0
2024;12;1;1;1;40;1;2;6.0;1000000.0;5.0
2024;12;1;1;1;41;1;2;5.0;960000.0;41.0
2024;12;9;1;1;20;9;2;10.0;1462000.0;47.0
2024;12;1;1;1;72;1;3;3.0;880000.0;1.0
2024;12;4;1;1;22;9;2;10.0;450000.0;85.0
2024;12;1;1;1;61;1;3;9.0;3000000.0;41.0
2024;12;1;1;1;64;1;3;5.0;2200000.0;84.0
2024;12;2;1;2;58;2;3;11.0;4500000.0;85.0
2024;12;1;1;1;53;1;2;3.0;1200000.0;41.0
2024;12;1;1;1;61;1;3;9.0;3000000.0;41.0
2024;12;1;1;1;34;1;2;3.0;700000.0;49.0
2024;12;1;1;2;44;1;2;3.0;920000.0;14.0
2024;12;1;1;2;32;1;2;5.0;500000.0;96.0
2024;12;1;1;2;50;1;2;11.0;4000000.0;84.0
2024;12;2;1;2;49;2;2;9.0;600000.0;45.0
2024;12;2;1;2;65;2;2;5.0;1600000.0;14.0
2024;12;1;1;2;53;1;2;11.0;5500000.0;85.0
2024;12;3;1;1;23;6;2;5.0;1025000.0;56.0
2024;12;1;1;1;35;1;2;3.0;1500000.0;41.0
2024;12;1;1;2;43;1;3;5.0;1300000.0;47.0
2024;12;2;1;2;27;2;2;10.0;1400000.0;47.0
2024;12;2;1;2;56;2;3;10.0;6200000.0;68.0
2024;12;1;1;2;30;1;2;5.0;420000.0;97.0
2024;12;1;1;2;36;1;2;5.0;1960000.0;47.0
2024;12;2;1;1;24;2;2;5.0;1300000.0;1.0
2024;12;1;1;2;32;1;2;12.0;3100000.0;85.0
2024;12;4;1;1;19;3;1;5.0;200000.0;56.0
2024;12;1;1;1;75;1;3;3.0;0.0;1.0
2024;12;1;1;1;35;1;2;10.0;2600000.0;74.0
2024;12;1;1;2;41;1;2;5.0;1462000.0;56.0
2024;12;1;1;1;52;1;2;5.0;500000.0;47.0
2024;12;1;1;1;54;1;1;5.0;1200000.0;49.0
2024;12;2;1;1;35;2;2;8.0;1650000.0;85.0
2024;12;1;1;2;38;1;2;10.0;1800000.0;55.0
2024;12;1;1;1;56;1;3;5.0;2850000.0;96.0
2024;12;1;1;1;63;1;3;3.0;800000.0;1.0
2024;12;2;1;1;39;3;1;10.0;4000000.0;84.0
2024;12;1;1;2;57;1;3;5.0;1000000.0;81.0
2024;12;4;1;2;52;10;2;3.0;2362000.0;97.0
2024;12;3;1;1;33;3;1;5.0;750000.0;31.0
2024;12;1;1;2;58;1;3;5.0;0.0;47.0
2024;12;1;1;1;64;1;3;10.0;4000000.0;60.0
2024;12;2;1;1;55;2;2;4.0;1300000.0;55.0
2024;12;2;1;2;53;3;3;3.0;1300000.0;81.0
2024;12;1;1;1;42;1;2;5.0;400000.0;1.0
